city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Buenos Aires,-34.6033,-58.3817,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,16710000,3054300
Córdoba,-31.4167,-64.1833,Argentina,AR,Córdoba,admin,2106734,1329604
Rosario,-32.9575,-60.6394,Argentina,AR,Santa Fe,minor,1276000,1193605
Santiago del Estero,-27.7833,-64.2667,Argentina,AR,Santiago del Estero,admin,911506,430280
Comodoro Rivadavia,-45.8647,-67.4808,Argentina,AR,Chubut,minor,730266,730266
Mar del Plata,-38.0000,-57.5500,Argentina,AR,Buenos Aires,minor,682605,593337
San Miguel de Tucumán,-26.8167,-65.2167,Argentina,AR,Tucumán,admin,605767,605767
Salta,-24.7833,-65.4167,Argentina,AR,Salta,admin,535303,535303
San Juan,-31.5342,-68.5261,Argentina,AR,San Juan,admin,471389,471389
Lanús,-34.7000,-58.4000,Argentina,AR,Buenos Aires,minor,459263,459263
Santa Fe,-31.6333,-60.7000,Argentina,AR,Santa Fe,admin,405683,405683
Corrientes,-27.4833,-58.8167,Argentina,AR,Corrientes,admin,352646,352646
San Salvador de Jujuy,-24.1833,-65.3000,Argentina,AR,Jujuy,admin,321789,321789
Bahía Blanca,-38.7167,-62.2667,Argentina,AR,Buenos Aires,minor,301572,299101
Pilar,-34.4500,-58.9167,Argentina,AR,Buenos Aires,minor,296826,81120
Resistencia,-27.4514,-58.9867,Argentina,AR,Chaco,admin,291720,291720
Posadas,-27.3667,-55.9000,Argentina,AR,Misiones,admin,275988,275988
Quilmes,-34.7167,-58.2667,Argentina,AR,Buenos Aires,minor,262379,262379
Paraná,-31.7331,-60.5297,Argentina,AR,Entre Ríos,admin,247863,247863
Merlo,-34.6653,-58.7275,Argentina,AR,Buenos Aires,minor,244168,244168
González Catán,-34.7667,-58.6167,Argentina,AR,Buenos Aires,,238067,238067
Formosa,-26.1833,-58.1833,Argentina,AR,Formosa,admin,234000,222226
Neuquén,-38.9525,-68.0642,Argentina,AR,Neuquén,admin,231198,231198
Banfield,-34.7500,-58.3833,Argentina,AR,Buenos Aires,,223898,223898
