País / Country,Provincia / State,Localidad
Afghanistan,Badakhshan,
Afghanistan,Badghis,
Afghanistan,Baghlan,
Afghanistan,Balkh,
Afghanistan,Bamyan,
Afghanistan,Daykundi,
Afghanistan,Farah,
Afghanistan,Faryab,
Afghanistan,Ghazni,
Afghanistan,Ghōr,
Afghanistan,Helmand,
Afghanistan,Herat,
Afghanistan,Jowzjan,
Afghanistan,Kabul,
Afghanistan,Kandahar,
Afghanistan,Kapisa,
Afghanistan,Khost,
Afghanistan,Kunar,
Afghanistan,Kunduz Province,
Afghanistan,Laghman,
Afghanistan,Logar,
Afghanistan,Nangarhar,
Afghanistan,Nimruz,
Afghanistan,Nuristan,
Afghanistan,Paktia,
Afghanistan,Paktika,
Afghanistan,Panjshir,
Afghanistan,Parwan,
Afghanistan,Samangan,
Afghanistan,Sar-e Pol,
Afghanistan,Takhar,
Afghanistan,Urozgan,
Afghanistan,Zabul,
Aland Islands,Brändö,
Aland Islands,Eckerö,
Aland Islands,Finström,
Aland Islands,Föglö,
Aland Islands,Geta,
Aland Islands,Hammarland,
Aland Islands,Jomala,
Aland Islands,Kökar,
Aland Islands,Kumlinge,
Aland Islands,Lemland,
Aland Islands,Lumparland,
Aland Islands,Mariehamn,
Aland Islands,Saltvik,
Aland Islands,Sottunga,
Aland Islands,Sund,
Aland Islands,Vårdö,
Albania,Berat,
Albania,Berat,
Albania,Bulqizë,
Albania,Delvinë,
Albania,Devoll,
Albania,Dibër,
Albania,Dibër,
Albania,Durrës,
Albania,Durrës,
Albania,Elbasan,
Albania,Fier,
Albania,Fier,
Albania,Gjirokastër,
Albania,Gjirokastër,
Albania,Gramsh,
Albania,Has,
Albania,Kavajë,
Albania,Kolonjë,
Albania,Korçë,
Albania,Korçë,
Albania,Krujë,
Albania,Kuçovë,
Albania,Kukës,
Albania,Kukës,
Albania,Kurbin,
Albania,Lezhë,
Albania,Lezhë,
Albania,Librazhd,
Albania,Lushnjë,
Albania,Malësi e Madhe,
Albania,Mallakastër,
Albania,Mat,
Albania,Mirditë,
Albania,Peqin,
Albania,Përmet,
Albania,Pogradec,
Albania,Pukë,
Albania,Sarandë,
Albania,Shkodër,
Albania,Shkodër,
Albania,Skrapar,
Albania,Tepelenë,
Albania,Tirana,
Albania,Tirana,
Albania,Tropojë,
Albania,Vlorë,
Albania,Vlorë,
Algeria,Adrar,
Algeria,Aïn Defla,
Algeria,Aïn Témouchent,
Algeria,Algiers,
Algeria,Annaba,
Algeria,Batna,
Algeria,Béchar,
Algeria,Béjaïa,
Algeria,Béni Abbès,
Algeria,Biskra,
Algeria,Blida,
Algeria,Bordj Baji Mokhtar,
Algeria,Bordj Bou Arréridj,
Algeria,Bouïra,
Algeria,Boumerdès,
Algeria,Chlef,
Algeria,Constantine,
Algeria,Djanet,
Algeria,Djelfa,
Algeria,El Bayadh,
Algeria,El M'ghair,
Algeria,El Menia,
Algeria,El Oued,
Algeria,El Tarf,
Algeria,Ghardaïa,
Algeria,Guelma,
Algeria,Illizi,
Algeria,In Guezzam,
Algeria,In Salah,
Algeria,Jijel,
